梘粉,梘盒,梘片,
鮓皮,鮓鬥,
鈒骨,
竪領,
掗開,掗開對腳,掗埞,掗位,
搵翻,搵飯食,搵鹽醃,搵人,搵人幫手,搵人出氣,搵嘢做,搵機會,搵工,搵嚟攪嘅,搵嚟辛苦,搵老襯,搵乜嘢,搵唔翻,搵唔到,搵邊個,搵笨,搵山草藥,搵世界,搵食,搵繩綁,搵到,搵著數,搵周公,搵錢,搵出,搵出嚟,搵丁,搵位,搵位坐,搵勻,搵銀,搵我做醜人,搵我出氣,搵刀切,搵水洗,
抔垃圾,
畀翻,畀翻錢,畀非士,畀考起,畀人蝦,畀人恰,畀人棍咗,畀人箍頸,畀人鬧,畀人拼沉,畀人識穿,畀人唱衰,畀人呃,畀過,畀利是,畀面,畀面色佢睇,畀問起,畀鬧到一面屁,畀鬧到一隻屐,畀鬧到一戙都冇,畀鬧到死死嚇,畀雪藏,畀心機,畀心機做,畀錫壞咗,畀水沉死,畀水濁親,畀差人拉,畀錢,畀銀紙,畀鬧到一只屐,
咇出嚟,
犦落去,犦落嚟,犦犦齋,犦親,
膊頭,
埗頭,
扠堝,
譖趙,譖醉,
掅起,掅住,掅住一袋嘢,
撍出嚟,
剒樣,
啋過你,啋過你把口,
睬佢都傻,睬你都傻,
笪落嚟,笪落地,笪落床,笪生魚,笪死,笪傷,笪餐死,笪低,
揼時間,
抌遠啲,抌印,抌落街,抌心口,抌咗,抌咗都冇人執,抌低,
扽氣,扽監,扽扽嚇,
揜骨,揜骨妹,揜骨場,揜鐵,
趯更,趯唔切,
掟球,掟煲,掟彎,
埞方,
啲咁多,啲朋友,啲啲咁多,
戙起隻腳,戙起床版,戙篤,戙篤企,戙篤笑,戙篤笑騷,戙起只腳,
懟冧,
瞓街,瞓覺,瞓過籠,瞓個靚覺,瞓厲頸,瞓唔到,瞓唔著,瞓唔著覺,瞓衫,瞓醒,瞓地下,瞓到淰曬,瞓著,瞓著覺,瞓著咗,瞓低,瞓得好,瞓得好淰,瞓得唔淰,瞓晏覺,
啡色,啡啡聲,啡水,
揈頭,揈頭丸,
曱甴,曱甴屎,
鎅花,鎅板,鎅崩手,鎅刀,鎅紙,鎅紙刀,鎅親,
